sample,model,sim,nsim,inner,outer,fiber,master_fiber_index,fiberset_index,waveform_index,active_src_index,nerve_label,threshold,apnode,aptime,long_ap_pos,n_ap_sites,peak_second_diff,peak_second_diff_node,peri_thk,type,contact,pulse_width,fiber_diam
252,0,3,0,4,3,14,40,0,0,0,2L,2.58365,102,1.952,28755.99404542126,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,15,41,0,0,0,2L,2.65321,102,1.527,28742.92833553101,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,16,42,0,0,0,2L,2.675422,102,1.422,28750.884126942074,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,17,43,0,0,0,2L,2.593742,102,1.461,28813.688906206535,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,18,44,0,0,0,2L,2.58365,102,1.467,28700.143239027977,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,19,45,0,0,0,2L,2.664316,102,1.43,28751.393609972558,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,20,46,0,0,0,2L,2.70874,101,1.429,28668.770540272686,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,21,47,0,0,0,2L,2.697634,102,1.548,28853.529954498812,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,3,3,2,48,0,0,0,2L,1.053164,102,1.398,28775.482995146114,1,,,14.77276698485954,2D,cathodic,,
252,0,3,0,6,4,6,49,0,0,0,2L,2.593742,101,1.47,28614.506158565422,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,7,50,0,0,0,2L,2.563464,101,1.464,28512.959057040684,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,8,51,0,0,0,2L,2.619892,101,1.54,28539.22759290682,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,9,52,0,0,0,2L,2.563464,101,1.528,28467.391484162315,0,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,10,53,0,0,0,2L,2.630998,101,1.426,28611.31926558656,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,4,3,22,54,0,0,0,2L,2.58365,101,1.533,28658.200392226714,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,23,55,0,0,0,2L,2.593742,101,1.45,28673.456614751623,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,5,3,18,56,0,0,0,2L,3.19679,103,1.502,29146.26057191503,1,,,35.35557263576618,2D,cathodic,,
